Variable Name- English,Variable Name- French,Property,ID,Survey Medium,EN Label,FR Label
Q24B_dv,Q24B_dv,TEXT,,BOTH,Q24b. Frozen pomegranate,Q24b. Grenades surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q25_dv,Q25_dv,TEXT,,BOTH,Q25. Avocado (including guacamole),Q25. Avocats (y compris le guacamole)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q25A_dv,Q25A_dv,TEXT,,BOTH,Q25a. Fresh avocado,Q25a. Avocats frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q25B_dv,Q25B_dv,TEXT,,BOTH,Q25b. Frozen avocado,Q25b. Avocats surgelés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
melon_dv,melon_dv,TEXT,,BOTH,Any melon,Melon
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q26_dv,Q26_dv,TEXT,,BOTH,Q26. Cantaloupe,Q26. Cantaloups
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q26A_dv,Q26A_dv,TEXT,,BOTH,Q26a. Fresh cantaloupe,Q26a. Cantaloups frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q26B_dv,Q26B_dv,TEXT,,BOTH,Q26b. Frozen cantaloupe,Q26b. Cantaloups surgelés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q27_dv,Q27_dv,TEXT,,BOTH,Q27. Honeydew melon,Q27. Melon miel
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q27A_dv,Q27A_dv,TEXT,,BOTH,Q27a. Fresh honeydew melon,Q27a. Melons miel frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q27B_dv,Q27B_dv,TEXT,,BOTH,Q27b. Frozen honeydew melon,Q27b. Melons miel surgelés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q28_dv,Q28_dv,TEXT,,BOTH,Q28. Watermelon,Q28. Melon d’eau
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q28A_dv,Q28A_dv,TEXT,,BOTH,Q28a. Fresh watermelon,Q28a. Melons d’eau frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q28B_dv,Q28B_dv,TEXT,,BOTH,Q28b. Frozen watermelon,Q28b. Melons d’eau surgelés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q29_dv,Q29_dv,TEXT,,BOTH,Q29. Peaches,Q29. Pêches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q29A_dv,Q29A_dv,TEXT,,BOTH,Q29a. Fresh peaches,Q29a. Pêches fraîches
,,CHOICE,,,Yes,Oui
,,CHOICE,2,,No,Non
Q29B_dv,Q29B_dv,TEXT,,BOTH,Q29b. Frozen peaches,Q29b. Pêches surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,,,No,Non
Q30_dv,Q30_dv,TEXT,,BOTH,Q30. Nectarines,Q30. Nectarines
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q30A_dv,Q30A_dv,TEXT,,BOTH,Q30a. Fresh nectarines,Q30a. Nectarines fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q30B_dv,Q30B_dv,TEXT,,BOTH,Q30b. Frozen nectarines,Q30b. Nectarines surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
berries_dv,baies_dv,TEXT,,BOTH,Any berries,Baies
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q31_dv,Q31_dv,TEXT,,BOTH,Q31. Strawberries,Q31. Fraises
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q31A_dv,Q31A_dv,TEXT,,BOTH,Q31a. Fresh strawberries,Q31a. Fraises fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q31B_dv,Q31B_dv,TEXT,,BOTH,Q31b. Frozen strawberries,Q31b. Fraises surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q31C_dv,Q31C_dv,TEXT,,BOTH,Q31c. Dried strawberries,Q31c. Fraises séchées
,,CHOICE,,,Yes,Oui
,,CHOICE,2,,No,Non
Q32_dv,Q32_dv,TEXT,,BOTH,Q32. Raspberries,Q32. Framboises
,,CHOICE,1,,Yes,Oui
,,CHOICE,,,No,Non
Q32A_dv,Q32A_dv,TEXT,,BOTH,Q32a. Fresh raspberries,Q32a. Framboises fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q32C_dv,Q32C_dv,TEXT,,BOTH,Q32b. Frozen raspberries,Q32b. Framboises surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q32C_dv,Q32C_dv,TEXT,,BOTH,Q32c. Dried raspberries,Q32c. Framboises séchées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q33_dv,Q33_dv,TEXT,,BOTH,Q33. Blueberries,Q33. Bleuets
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q33A_dv,Q33A_dv,TEXT,,BOTH,Q33a. Fresh blueberries,Q33a. Bleuets frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q33B_dv,Q33B_dv,TEXT,,BOTH,Q33b. Frozen blueberries,Q33b. Bleuets surgelés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q33C_dv,Q33C_dv,TEXT,,BOTH,Q33c. Dried blueberries,Q33c. Bleuets séchés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q34_dv,Q34_dv,TEXT,,BOTH,Q34. Blackberries,Q34. Mûres
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q34A_dv,Q34A_dv,TEXT,,BOTH,Q34a. Fresh blackberries,Q34a. Mûres fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q34B_dv,Q34B_dv,TEXT,,BOTH,Q34b. Frozen blackberries,Q34b. Mûres surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q34C_dv,Q34C_dv,TEXT,,BOTH,Q34c. Dried blackberries,Q34c. Mûres séchées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q35_dv,Q35_dv,TEXT,,BOTH,Q35. Coconut; excluding coconut water or milk,Q35. Noix de coco : excepté l’eau de coco ou le lait de coco
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q35A_dv,Q35A_dv,TEXT,,BOTH,Q35a. Fresh coconut,Q35a. Noix de coco fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q35B_dv,Q35B_dv,TEXT,,BOTH,Q35b. Frozen coconut,Q35b. Noix de coco surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q35C_dv,Q35C_dv,TEXT,,BOTH,Q35c. Dried coconut,Q35c. Noix de coco séchées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q36,Q36,TEXT,,BOTH,Q36. Bag of mixed frozen fruit or berries,Q36. Sac de fruits surgelés ou de petits fruits
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q37,Q37,TEXT,,BOTH,Q37. Fruit smoothies at home or store-bought,Q37. Smoothies aux fruits faits maison ou achetés en magasin
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q38,Q38,TEXT,,BOTH,Q38. Unpasteurized apple cider or fruit juice,Q38. Cidre de pomme ou jus de fruits non pasteurisés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39_dv,Q39_dv,TEXT,,BOTH,Q39. Any nuts,Q39. Noix 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39A_dv,Q39A_dv,TEXT,,BOTH,Q39a. Peanuts (excluding peanut butter/spread),Q39a. Arachides (sauf le beurre ou la tartinade d’arachide)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39B_dv,Q39B_dv,TEXT,,BOTH,Q39b. Peanut butter/spread,Q39b. Beurre d’arachides
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39C_dv,Q39C_dv,TEXT,,BOTH,Q39c. Almonds (excluding almond butter/spread),Q39c. Amandes (sauf le beurre ou la tartinade d’amandes)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39D_dv,Q39D_dv,TEXT,,BOTH,Q39d. Almond butter,Q39d. Beurre d’amande
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39E_dv,Q39E_dv,TEXT,,BOTH,Q39e. Walnuts,Q39e. Noix de Grenoble
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39F_dv,Q39F_dv,TEXT,,BOTH,Q39f. Hazelnuts (excluding hazelnut butter/spread),Q39f. Noisettes (sauf le beurre ou la tartinade de noisette)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39G_dv,Q39G_dv,TEXT,,BOTH,Q39g. Hazelnut spread,Q39g. Beurre et tartinade contenant des noisettes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39H_dv,Q39H_dv,TEXT,,BOTH,Q39h. Cashews (excluding cashew butter/spread),Q39h. Noix de cajou (sauf le beurre ou la tartinade de cajou)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39I_dv,Q39I_dv,TEXT,,BOTH,Q39i. Cashew butter,Q39i. Beurre de cajou
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39J_dv,Q39J_dv,TEXT,,BOTH,Q39j. Pecans,Q39j. Pacanes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q39K_dv,Q39K_dv,TEXT,,BOTH,Q39k. Other nuts,Q39k. Autres noix 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
seeds_dv,graines_dv,TEXT,,BOTH,Any seeds,Graines
,,CHOICE,1,,Yes,
,,CHOICE,2,,No,
Q40,Q40,TEXT,,BOTH,Q40. Sunflower seeds,Q40. Graines de tournesol
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q41,Q41,TEXT,,BOTH,Q41. Butter or paste containing sunflower seeds,Q41. Beurre ou pâte contenant des graines de tournesol
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q42,Q42,TEXT,,BOTH,Q42. Sesame seeds,Q42. Graines de sésame
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q43,Q43,TEXT,,BOTH,Q43. Tahini,Q43. Tahini (pâte de sésame)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q44,Q44,TEXT,,BOTH,Q44. Chia seeds/chia seed powder,Q44. Graines de chia/poudre de graines de chia
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q45,Q45,TEXT,,BOTH,Q45. Flax seeds/flax seed powder,Q45. Graines de lin et poudre de graines de lin
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q46,Q46,TEXT,,BOTH,Q46. Other seeds,Q46. Autres graines 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47_dv,Q47_dv,TEXT,,BOTH,Q47. Any beef (excluding deli-meat),Q47. Tout bœuf (sauf la charcuterie)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47A_dv,Q47A_dv,TEXT,,BOTH,Q47a. Any ground beef ,Q47a. Bœuf haché 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47AI_dv,Q47AI_dv,TEXT,,BOTH,Q47ai. Ground beef consumed raw or undercooked,Q47ai. Bœuf haché consommé cru ou pas assez cuit
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47B_dv,Q47B_dv,TEXT,,BOTH,Q47b. Any hamburgers,"Q47b. Hamburgers (par exemple, galettes de bœuf haché)"
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47BI_dv,Q47BI_dv,TEXT,,BOTH,Q47bi. Hamburgers store-bought frozen beef patties,Q47bi. Galettes de bœuf achetées congelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47C_dv,Q47C_dv,TEXT,,BOTH,Q47c. Raw beef (not including raw ground beef),Q47c. Bœuf cru (sauf le bœuf haché cru)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47D_dv,Q47D_dv,TEXT,,BOTH,Q47d. Steak,Q47d. Bifteck
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47E_dv,Q47E_dv,TEXT,,BOTH,Q47e. Stewing beef,Q47e. Bœuf à ragoût
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47F_dv,Q47F_dv,TEXT,,BOTH,Q47f. Veal,Q47f. Veau
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47G_dv,Q47G_dv,TEXT,,BOTH,Q47g. Beef sausage (not including dried sausage),Q47g. Saucisses de bœuf (sauf les saucissons)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q47H_dv,Q47H_dv,TEXT,,BOTH,Q47h. Other whole-cut beef products (e.g. ribs or roast),Q47h. Autres produits de bœuf entier (p. ex. côtes levées ou rosbif)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q48_dv,Q48_dv,TEXT,,BOTH,Q48. Any pork (not including deli meat),Q48. Tout porc (sauf les charcuteries)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q48A_dv,Q48A_dv,TEXT,,BOTH,Q48a. Ground pork,Q48a. Porc haché
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q48B_dv,Q48B_dv,TEXT,,BOTH,Q48b. Pork sausage (not including dried sausage),Q48b. Saucisse de porc (sauf les saucissons)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q48C_dv,Q48C_dv,TEXT,,BOTH,Q48c.Pork pieces or parts,Q48c. Porc en morceaux ou en pièces
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q48D_dv,Q48D_dv,TEXT,,BOTH,Q48d. Pork consumed raw or with pink still showing,Q48d. Porc consommé cru ou présentant encore une coloration rosée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49_dv,Q49_dv,TEXT,,BOTH,Q49. Any chicken (not including deli-meat),Q49. Poulet (sauf la charcuterie)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49A_dv,Q49A_dv,TEXT,,BOTH,Q49a. Store-bought breaded chicken,Q49a. Poulet pané du commerce
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49AI_dv,Q49AI_dv,TEXT,,BOTH,Q49ai. Store-bought breaded chicken purchased frozen,Q49ai. Poulet pané du commerce acheté congelé
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49AB_dv,Q49AB_dv,TEXT,,BOTH,Q49ab. Store-bought stuffed chicken products ,Q49ab. Produits de poulet farci du commerce
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49ABI_dv,Q49ABI_dv,TEXT,,BOTH,Q49abi. Store-bought stuffed chicken products,Q49abi. Produits de poulet farci surgelés achetés en magasin
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49B_dv,Q49B_dv,TEXT,,BOTH,Q49b. Ground chicken,Q49b. Poulet haché
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49C_dv,Q49C_dv,TEXT,,BOTH,Q49c. Roasted whole chicken purchased from a store,Q49c. Poulet entier rôti acheté dans un magasin
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49D_dv,Q49D_dv,TEXT,,BOTH,Q49d. Whole chicken purchased raw and cooked at home,Q49d. Poulet entier acheté cru et cuit à la maison
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49E_dv,Q49E_dv,TEXT,,BOTH,Q49e. Chicken pieces or parts,Q49e. Poulet en morceaux ou en pièces
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q49F_dv,Q49F_dv,TEXT,,BOTH,Q49f. Chicken sausage (excluding dried sausage),Q49f. Saucisse de poulet (sauf les saucissons)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q50_dv,Q50_dv,TEXT,,BOTH,Q50. Any turkey (not including deli meat),Q50. Dinde (à l’exclusion de la charcuterie)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
