"Exposure","Province.Territory","Proportion"
"Any lettuce or leafy greens","SK",76.8059692360502
"Any lettuce or leafy greens","MB",76.9181046477916
"Any lettuce or leafy greens","ON",84.9227580588765
"Any lettuce or leafy greens","QC",83.2164634536678
"Any lettuce or leafy greens","NB",77.315121983003
"Any lettuce or leafy greens","NS",78.2733727773165
"Any lettuce or leafy greens","PE",81.8766535329635
"Any lettuce or leafy greens","NL",78.8869118647225
"Any lettuce or leafy greens","YT",88.4569308348417
"Any lettuce or leafy greens","NT",80.2941088707515
"Any lettuce or leafy greens","NU",54.0857163390062
"Any lettuce or leafy greens","Canada",83.1957446359571
"Iceberg lettuce","BC",38.2055621623969
"Iceberg lettuce","AB",42.4213623556085
"Iceberg lettuce","SK",42.0536566069765
"Iceberg lettuce","MB",44.0128570931822
"Iceberg lettuce","ON",44.5695464928763
"Iceberg lettuce","QC",38.7648922427964
"Iceberg lettuce","NB",45.7582433825005
"Iceberg lettuce","NS",43.6061390846619
"Iceberg lettuce","PE",44.0254430777685
"Iceberg lettuce","NL",45.743760365123
"Iceberg lettuce","YT",42.5515416457803
"Iceberg lettuce","NT",42.40531444242
"Iceberg lettuce","NU",19.2491651517672
"Iceberg lettuce","Canada",41.9970858263562
"Romaine lettuce","BC",57.5522774343807
"Romaine lettuce","AB",58.2566886979986
"Romaine lettuce","SK",52.6143412330285
"Romaine lettuce","MB",50.4967424352221
"Romaine lettuce","ON",60.5099179656281
"Romaine lettuce","QC",54.0105581372426
"Romaine lettuce","NB",44.5827534921121
"Romaine lettuce","NS",47.6660492608518
"Romaine lettuce","PE",50.8114049637515
"Romaine lettuce","NL",51.2821424728653
"Romaine lettuce","YT",60.3311180844788
"Romaine lettuce","NT",43.1365954065294
"Romaine lettuce","NU",35.0386328888497
"Romaine lettuce","Canada",56.8329635392842
"Spinach","BC",45.4709700812991
"Spinach","AB",40.9549536199232
"Spinach","SK",29.9395433089576
"Spinach","MB",38.3541468039231
"Spinach","ON",41.5748658261746
"Spinach","QC",30.9347788359758
"Spinach","NB",31.7535607014961
"Spinach","NS",39.4000201164596
"Spinach","PE",35.0189677018586
"Spinach","NL",36.7835593417635
"Spinach","YT",49.5477324478777
"Spinach","NT",25.3380124082182
"Spinach","NU",18.2958537225766
"Spinach","Canada",38.665948992557
"Mesclun greens","BC",30.878081712415
"Mesclun greens","AB",21.8331210530815
"Mesclun greens","SK",14.9950627435479
"Mesclun greens","MB",15.6442551074721
"Mesclun greens","ON",24.624842438514
"Mesclun greens","QC",20.4777670768704
"Mesclun greens","NB",18.0664405759634
"Mesclun greens","NS",21.8448473715082
"Mesclun greens","PE",24.9516990717095
"Mesclun greens","NL",14.9708189978425
"Mesclun greens","YT",28.5632282655956
"Mesclun greens","NT",19.7400164720274
"Mesclun greens","NU",3.67176220261446
"Mesclun greens","Canada",23.1655232803438
"Kale","BC",23.8666467549218
"Kale","AB",19.0607000314341
"Kale","SK",12.5652982816919
"Kale","MB",12.6397406142259
"Kale","ON",19.7860619713364
"Kale","QC",14.408624849467
"Kale","NB",9.88958781269568
"Kale","NS",15.4051453937777
"Kale","PE",11.7282032231873
"Kale","NL",14.9908650900273
"Kale","YT",26.2196918477152
"Kale","NT",21.9600717358647
"Kale","NU",19.7744341231538
"Kale","Canada",18.0779541665239
"Arugula","BC",23.1733525433813
"Arugula","AB",14.6346398443924
"Arugula","SK",5.97855305684348
"Arugula","MB",8.54693052551563
"Arugula","ON",18.290912709892
"Arugula","QC",16.0736345146217
"Arugula","NB",8.69715798593729
"Arugula","NS",10.6998613341777
"Arugula","PE",14.1590123067795
"Arugula","NL",11.5895881876094
"Arugula","YT",24.172475163012
"Arugula","NT",14.8564778905012
"Arugula","NU",3.13548607896559
"Arugula","Canada",16.7124198210031
"Other leafy greens","BC",16.9758290982193
"Other leafy greens","AB",15.7787328728234
"Other leafy greens","SK",8.10564914101277
"Other leafy greens","MB",9.65646615716317
"Other leafy greens","ON",16.5780348662819
"Other leafy greens","QC",16.4007730794554
"Other leafy greens","NB",12.4321328309359
"Other leafy greens","NS",10.2359141223734
"Other leafy greens","PE",9.88885089550505
"Other leafy greens","NL",12.8189525759919
"Other leafy greens","YT",26.2365251331555
"Other leafy greens","NT",16.8261219726379
"Other leafy greens","NU",2.06382996637004
"Other leafy greens","Canada",15.5963188674903
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","BC",28.7
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","AB",30.4
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","SK",33.2
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","MB",25
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","ON",25.9
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","QC",15
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","NB",20.3
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","NS",28.8
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","PE",20.8
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","NL",25.4
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","YT",19.5
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","NT",17.4
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","NU",8.9
"Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","Canada",24.3
"Pre-packaged lettuce or leafy greens","BC",34.4093347113492
"Pre-packaged lettuce or leafy greens","AB",33.8118069356557
"Pre-packaged lettuce or leafy greens","SK",32.5920291826582
"Pre-packaged lettuce or leafy greens","MB",31.1385626599078
"Pre-packaged lettuce or leafy greens","ON",32.4286671262024
"Pre-packaged lettuce or leafy greens","QC",22.4083423577472
"Pre-packaged lettuce or leafy greens","NB",30.0309076071564
"Pre-packaged lettuce or leafy greens","NS",26.6616999291214
"Pre-packaged lettuce or leafy greens","PE",21.612876212527
"Pre-packaged lettuce or leafy greens","NL",24.9315020796542
"Pre-packaged lettuce or leafy greens","YT",35.1754283839795
"Pre-packaged lettuce or leafy greens","NT",33.0704179499823
"Pre-packaged lettuce or leafy greens","NU",21.0117694677845
"Pre-packaged lettuce or leafy greens","Canada",30.1800286040695
"Commercially pre-packaged salad kits","BC",27.991908159424
"Commercially pre-packaged salad kits","AB",27.9429239276458
"Commercially pre-packaged salad kits","SK",30.6653264708833
"Commercially pre-packaged salad kits","MB",27.4433955947245
"Commercially pre-packaged salad kits","ON",25.0587448334953
"Commercially pre-packaged salad kits","QC",19.3441268321453
"Commercially pre-packaged salad kits","NB",21.6508633769194
"Commercially pre-packaged salad kits","NS",24.7948848526083
"Commercially pre-packaged salad kits","PE",27.9542508434176
"Commercially pre-packaged salad kits","NL",28.4883819767711
"Commercially pre-packaged salad kits","YT",30.1360836215092
"Commercially pre-packaged salad kits","NT",29.5542773856229
"Commercially pre-packaged salad kits","NU",11.4665595814787
"Commercially pre-packaged salad kits","Canada",24.7217464319232
"Any store-bought or ready to eat green salad","BC",17.7542355220427
"Any store-bought or ready to eat green salad","AB",18.4476589085918
"Any store-bought or ready to eat green salad","SK",17.1342215993501
"Any store-bought or ready to eat green salad","MB",19.9855751683735
"Any store-bought or ready to eat green salad","ON",19.040973452521
"Any store-bought or ready to eat green salad","QC",16.13342919212
"Any store-bought or ready to eat green salad","NB",18.6154262425432
"Any store-bought or ready to eat green salad","NS",18.0185042983429
"Any store-bought or ready to eat green salad","PE",20.1474011542639
"Any store-bought or ready to eat green salad","NL",21.9761280560954
"Any store-bought or ready to eat green salad","YT",18.1279939172439
"Any store-bought or ready to eat green salad","NT",20.2691954101326
"Any store-bought or ready to eat green salad","NU",7.83118015028959
"Any store-bought or ready to eat green salad","Canada",18.1066168404609
"Cabbage (includes coleslaw)","BC",41.67510590149
"Cabbage (includes coleslaw)","AB",40.2141396935602
"Cabbage (includes coleslaw)","SK",36.471853983634
"Cabbage (includes coleslaw)","MB",34.3295186338748
"Cabbage (includes coleslaw)","ON",37.0600497156502
"Cabbage (includes coleslaw)","QC",37.8519207151613
"Cabbage (includes coleslaw)","NB",36.1864441719413
"Cabbage (includes coleslaw)","NS",32.3356600747871
"Cabbage (includes coleslaw)","PE",35.3213779728111
"Cabbage (includes coleslaw)","NL",37.6974837418611
"Cabbage (includes coleslaw)","YT",39.6745355165847
"Cabbage (includes coleslaw)","NT",31.0443752495778
"Cabbage (includes coleslaw)","NU",15.8549596469211
"Cabbage (includes coleslaw)","Canada",37.9459764043673
"Any coleslaw","BC",19.8395617908248
"Any coleslaw","AB",18.630919378497
"Any coleslaw","SK",17.8286758485374
"Any coleslaw","MB",19.6230257783747
"Any coleslaw","ON",18.4858959007131
"Any coleslaw","QC",26.508652157033
"Any coleslaw","NB",20.3891004520678
"Any coleslaw","NS",18.4531555713397
"Any coleslaw","PE",18.6852290909323
"Any coleslaw","NL",20.4335487046642
"Any coleslaw","YT",20.3386470551531
"Any coleslaw","NT",14.2806887364475
"Any coleslaw","NU",5.00244018617779
"Any coleslaw","Canada",20.6290290689274
"Any microgreens or sprouts","BC",16.5801563669789
"Any microgreens or sprouts","AB",15.3483292554155
"Any microgreens or sprouts","SK",14.6857533970888
"Any microgreens or sprouts","MB",11.7212301408552
"Any microgreens or sprouts","ON",13.8428332897814
"Any microgreens or sprouts","QC",10.5306623417665
"Any microgreens or sprouts","NB",12.221792312851
"Any microgreens or sprouts","NS",15.3851320692157
"Any microgreens or sprouts","PE",9.72326305173901
"Any microgreens or sprouts","NL",11.5316370213792
"Any microgreens or sprouts","YT",14.1419191824698
"Any microgreens or sprouts","NT",9.24150795119953
"Any microgreens or sprouts","NU",9.65889338474027
"Any microgreens or sprouts","Canada",13.5238628015363
"Microgreens","BC",7.24410327992534
"Microgreens","AB",5.22365471741591
"Microgreens","SK",3.94925939841987
"Microgreens","MB",4.22351544342008
"Microgreens","ON",5.95340756854285
"Microgreens","QC",5.6848450840199
"Microgreens","NB",5.76915292915505
"Microgreens","NS",7.50313002892795
"Microgreens","PE",3.67856375600315
"Microgreens","NL",5.1445078415796
"Microgreens","YT",6.50821446800996
"Microgreens","NT",2.49447165001641
"Microgreens","NU",3.34450068466507
"Microgreens","Canada",5.86918091773878
"Alfalfa sprouts","BC",4.24998194354111
"Alfalfa sprouts","AB",3.3800652978906
"Alfalfa sprouts","SK",1.2949314535532
"Alfalfa sprouts","MB",2.40004253692963
"Alfalfa sprouts","ON",2.57179994518311
"Alfalfa sprouts","QC",2.73453146959129
"Alfalfa sprouts","NB",1.92423444455581
"Alfalfa sprouts","NS",3.30877886111203
"Alfalfa sprouts","PE",0.500349877355191
"Alfalfa sprouts","NL",2.11401204020141
"Alfalfa sprouts","YT",5.5216414959098
"Alfalfa sprouts","NT",2.70342895656103
"Alfalfa sprouts","NU",3.63528883878199
"Alfalfa sprouts","Canada",2.88084758877611
"Bean sprouts","BC",7.03095663929676
"Bean sprouts","AB",7.85467328456497
"Bean sprouts","SK",6.73258179581011
"Bean sprouts","MB",4.40748198789132
"Bean sprouts","ON",5.09739947295364
"Bean sprouts","QC",3.36636934471521
"Bean sprouts","NB",4.54585942830702
"Bean sprouts","NS",6.97581597612745
"Bean sprouts","PE",4.46752765349115
"Bean sprouts","NL",7.43602723421312
"Bean sprouts","YT",4.08955343228893
"Bean sprouts","NT",3.76475451576019
"Bean sprouts","NU",3.08380182135187
"Bean sprouts","Canada",5.37092789462359
"Other sprouts","BC",3.74870779854052
"Other sprouts","AB",1.66923536276551
"Other sprouts","SK",1.65719746698321
"Other sprouts","MB",2.14447238557829
"Other sprouts","ON",3.18629180562919
"Other sprouts","QC",3.25233588235553
"Other sprouts","NB",2.486755073753
"Other sprouts","NS",2.65103955610506
"Other sprouts","PE",0.459951275616215
"Other sprouts","NL",2.21774284887228
"Other sprouts","YT",2.35608847759813
"Other sprouts","NT",3.05659669083367
"Other sprouts","NU",0
"Other sprouts","Canada",2.95992919886869
"Cucumbers","BC",74.4181183038763
"Cucumbers","AB",72.4899826467319
"Cucumbers","SK",72.2281287215721
"Cucumbers","MB",66.3928285364516
"Cucumbers","ON",70.9434859624299
"Cucumbers","QC",77.6004473300289
"Cucumbers","NB",64.9379492843097
"Cucumbers","NS",62.4032281479038
"Cucumbers","PE",57.5815632793959
"Cucumbers","NL",32.3238424368997
"Cucumbers","YT",74.7536819828688
"Cucumbers","NT",67.8749174584856
"Cucumbers","NU",64.7185190241132
"Cucumbers","Canada",72.050647270895
"Bell peppers","BC",66.2231854340034
"Bell peppers","AB",63.3710868364128
"Bell peppers","SK",58.4976136617792
"Bell peppers","MB",61.4075914948554
"Bell peppers","ON",65.1155949342006
"Bell peppers","QC",70.1322337025943
"Bell peppers","NB",58.6833373639738
"Bell peppers","NS",60.787013465566
"Bell peppers","PE",55.1381484880516
"Bell peppers","NL",67.5226892252891
"Bell peppers","YT",71.768237252022
"Bell peppers","NT",66.9323668124272
"Bell peppers","NU",53.6933730517238
"Bell peppers","Canada",65.6321592800316
"Hot peppers","BC",21.8908859433763
"Hot peppers","AB",22.1753140892519
"Hot peppers","SK",17.2409083379565
"Hot peppers","MB",15.1157642053403
"Hot peppers","ON",22.7266958164793
"Hot peppers","QC",14.6520025252168
"Hot peppers","NB",12.8094046782094
"Hot peppers","NS",18.4439473432126
"Hot peppers","PE",16.459504135749
"Hot peppers","NL",17.525222492065
"Hot peppers","YT",18.6379353360974
"Hot peppers","NT",9.23995727642807
"Hot peppers","NU",11.1740694391809
"Hot peppers","Canada",19.7830504342996
"Peas (shelled or in pods)*","BC",35.2
"Peas (shelled or in pods)*","AB",38.2
"Peas (shelled or in pods)*","SK",37.6
"Peas (shelled or in pods)*","MB",34.7
"Peas (shelled or in pods)*","ON",27.7
"Peas (shelled or in pods)*","QC",20.2
"Peas (shelled or in pods)*","NB",31.7
"Peas (shelled or in pods)*","NS",28.2
"Peas (shelled or in pods)*","PE",32.4
"Peas (shelled or in pods)*","NL",31.6
"Peas (shelled or in pods)*","YT",36
"Peas (shelled or in pods)*","NT",39.8
"Peas (shelled or in pods)*","NU",23.5
"Peas (shelled or in pods)*","Canada",28.8
"Sugar snap peas","BC",16.9996748341002
"Sugar snap peas","AB",16.5840282191182
"Sugar snap peas","SK",18.4791539325812
"Sugar snap peas","MB",18.7311743279927
"Sugar snap peas","ON",13.3313648407421
"Sugar snap peas","QC",11.4853152175404
"Sugar snap peas","NB",12.0974205046468
"Sugar snap peas","NS",12.4568339285343
"Sugar snap peas","PE",11.3966927393215
"Sugar snap peas","NL",10.1652900363628
"Sugar snap peas","YT",20.8990540221532
"Sugar snap peas","NT",26.1375163614597
"Sugar snap peas","NU",6.35751591930812
"Sugar snap peas","Canada",14.0493743138469
"Green or yellow beans*","BC",29.9
"Green or yellow beans*","AB",28.1
"Green or yellow beans*","SK",26.9
"Green or yellow beans*","MB",23.7
"Green or yellow beans*","ON",44.1
"Green or yellow beans*","QC",37.3
"Green or yellow beans*","NB",37.9
"Green or yellow beans*","NS",32.7
"Green or yellow beans*","PE",28.6
"Green or yellow beans*","NL",17.1
"Green or yellow beans*","YT",14.5
"Green or yellow beans*","NT",23.4
"Green or yellow beans*","NU",18.8
"Green or yellow beans*","Canada",36.6
"Any carrots*","BC",82.7
"Any carrots*","AB",79.3
"Any carrots*","SK",79.7
"Any carrots*","MB",82.5
"Any carrots*","ON",80
"Any carrots*","QC",82.3
"Any carrots*","NB",86
"Any carrots*","NS",89.2
"Any carrots*","PE",89.3
"Any carrots*","NL",84.2
"Any carrots*","YT",83.8
"Any carrots*","NT",75.1
"Any carrots*","NU",72.3
"Any carrots*","Canada",81.4
"Carrots (not mini)*","BC",72.4
"Carrots (not mini)*","AB",67.6
"Carrots (not mini)*","SK",69.2
"Carrots (not mini)*","MB",68.7
"Carrots (not mini)*","ON",65.4
"Carrots (not mini)*","QC",70.5
"Carrots (not mini)*","NB",74.3
"Carrots (not mini)*","NS",80.3
"Carrots (not mini)*","PE",81.5
"Carrots (not mini)*","NL",80.8
"Carrots (not mini)*","YT",76.2
"Carrots (not mini)*","NT",66.9
"Carrots (not mini)*","NU",61.2
"Carrots (not mini)*","Canada",68.9
"Mini/baby carrots","BC",30.2555636160586
"Mini/baby carrots","AB",33.0389500734536
"Mini/baby carrots","SK",33.2748621251814
"Mini/baby carrots","MB",32.8918325109113
"Mini/baby carrots","ON",35.789583988595
"Mini/baby carrots","QC",36.2708453092388
"Mini/baby carrots","NB",27.4787638130941
"Mini/baby carrots","NS",31.2433154561432
"Mini/baby carrots","PE",26.4453045692563
"Mini/baby carrots","NL",24.930333061936
"Mini/baby carrots","YT",30.1565335617889
"Mini/baby carrots","NT",41.401922421668
"Mini/baby carrots","NU",23.6572150015698
"Mini/baby carrots","Canada",34.1484387533682
"Mushrooms","BC",45.9016361823972
"Mushrooms","AB",38.8899197005014
"Mushrooms","SK",36.1837572133088
"Mushrooms","MB",42.0876943715123
"Mushrooms","ON",42.7930265358754
"Mushrooms","QC",45.5646682087532
"Mushrooms","NB",37.6285205852537
"Mushrooms","NS",45.723323250572
"Mushrooms","PE",35.4569986021567
"Mushrooms","NL",36.4571850108908
"Mushrooms","YT",44.2857932636134
"Mushrooms","NT",36.7303680963209
"Mushrooms","NU",21.1128899486777
"Mushrooms","Canada",43.0004224286614
"Any onions","BC",74.5183397985456
"Any onions","AB",70.3358593785813
"Any onions","SK",67.2702027768923
"Any onions","MB",71.4172654885789
"Any onions","ON",73.7425960394625
"Any onions","QC",68.6235942010409
"Any onions","NB",68.2923276457745
"Any onions","NS",69.4023368064204
"Any onions","PE",56.5624804002328
"Any onions","NL",70.0100459875083
"Any onions","YT",71.1345262422003
"Any onions","NT",79.2578328177669
"Any onions","NU",51.2013475691611
"Any onions","Canada",71.6117160407696
"Green onions","BC",46.2202794117962
"Green onions","AB",40.7527801905781
"Green onions","SK",35.43639328637
"Green onions","MB",37.7209459391234
"Green onions","ON",39.4245066891434
"Green onions","QC",44.8316630717484
"Green onions","NB",32.2842763622171
"Green onions","NS",32.5258588451287
"Green onions","PE",27.7855785270512
"Green onions","NL",38.734856673845
"Green onions","YT",43.7408632660793
"Green onions","NT",42.3106152003456
"Green onions","NU",32.0703337528511
"Green onions","Canada",41.202051652291
"Red onions","BC",43.7359544528271
"Red onions","AB",39.1428655691799
"Red onions","SK",35.0502910529743
"Red onions","MB",38.7681988507949
"Red onions","ON",44.1717568827684
"Red onions","QC",35.9121852781464
"Red onions","NB",36.0769774031481
"Red onions","NS",34.5940379360972
"Red onions","PE",29.4376395263193
"Red onions","NL",35.4619639281635
"Red onions","YT",38.8741005795592
"Red onions","NT",40.4623445400335
"Red onions","NU",17.7802367021474
"Red onions","Canada",40.4488119128511
"Other onions","BC",51.5683898908128
"Other onions","AB",48.1896375762013
"Other onions","SK",45.4412446774282
"Other onions","MB",48.1792717210369
"Other onions","ON",50.3602182749598
"Other onions","QC",39.2281771410721
"Other onions","NB",46.2362389269282
"Other onions","NS",48.2092330371901
"Other onions","PE",37.069869089644
"Other onions","NL",47.092243628634
"Other onions","YT",49.6715352933614
"Other onions","NT",51.0582605957749
"Other onions","NU",33.3022404592433
"Other onions","Canada",47.1701804006722
"White/yellow onions*","BC",77.2
"White/yellow onions*","AB",76.2
"White/yellow onions*","SK",70.6
"White/yellow onions*","MB",72.2
"White/yellow onions*","ON",70.6
"White/yellow onions*","QC",74.9
"White/yellow onions*","NB",76.8
"White/yellow onions*","NS",75.7
"White/yellow onions*","PE",73.3
"White/yellow onions*","NL",76.8
"White/yellow onions*","YT",75
"White/yellow onions*","NT",69.3
"White/yellow onions*","NU",65.8
"White/yellow onions*","Canada",73.5
"Celery*","BC",43.5
"Celery*","AB",50.3
"Celery*","SK",53.7
"Celery*","MB",48.6
"Celery*","ON",45.2
"Celery*","QC",55
"Celery*","NB",37.3
"Celery*","NS",37.3
"Celery*","PE",37.5
"Celery*","NL",32
"Celery*","YT",59.1
"Celery*","NT",48.5
"Celery*","NU",41
"Celery*","Canada",47.6
"Broccoli*","BC",58
"Broccoli*","AB",51.2
"Broccoli*","SK",48.1
"Broccoli*","MB",50
"Broccoli*","ON",57.6
"Broccoli*","QC",56
"Broccoli*","NB",50.5
"Broccoli*","NS",49.8
"Broccoli*","PE",52.7
"Broccoli*","NL",51.6
"Broccoli*","YT",64.7
"Broccoli*","NT",53.2
"Broccoli*","NU",47.2
"Broccoli*","Canada",55.5
"Cauliflower*","BC",36.8
"Cauliflower*","AB",32
"Cauliflower*","SK",36.9
"Cauliflower*","MB",33.3
"Cauliflower*","ON",33.3
"Cauliflower*","QC",33.2
"Cauliflower*","NB",20.1
"Cauliflower*","NS",18.7
"Cauliflower*","PE",31
"Cauliflower*","NL",37.2
"Cauliflower*","YT",38.2
"Cauliflower*","NT",27.2
"Cauliflower*","NU",25.2
"Cauliflower*","Canada",33
"Leeks*","BC",8.4
"Leeks*","AB",5.7
"Leeks*","SK",6.1
"Leeks*","MB",3.7
"Leeks*","ON",7.6
"Leeks*","QC",16.6
"Leeks*","NB",5.3
"Leeks*","NS",2.5
"Leeks*","PE",7.9
"Leeks*","NL",3.6
"Leeks*","YT",9.6
"Leeks*","NT",4.8
"Leeks*","NU",5.3
"Leeks*","Canada",9.2
"Fresh garlic*","BC",63
"Fresh garlic*","AB",42.6
"Fresh garlic*","SK",40.6
"Fresh garlic*","MB",47
"Fresh garlic*","ON",51.6
"Fresh garlic*","QC",45.3
"Fresh garlic*","NB",31.8
"Fresh garlic*","NS",41.9
"Fresh garlic*","PE",32.5
"Fresh garlic*","NL",25.6
"Fresh garlic*","YT",64
"Fresh garlic*","NT",40.9
"Fresh garlic*","NU",23.2
"Fresh garlic*","Canada",48.9
"Zucchini*","BC",26.6
"Zucchini*","AB",19.6
"Zucchini*","SK",12.1
"Zucchini*","MB",15.9
"Zucchini*","ON",22.8
"Zucchini*","QC",21
"Zucchini*","NB",6.9
"Zucchini*","NS",14.6
"Zucchini*","PE",7.1
"Zucchini*","NL",7.5
"Zucchini*","YT",20.9
"Zucchini*","NT",18
"Zucchini*","NU",6.9
"Zucchini*","Canada",21.1
"Any vegetable juices*","BC",15
"Any vegetable juices*","AB",11.9
"Any vegetable juices*","SK",13.7
"Any vegetable juices*","MB",14.9
"Any vegetable juices*","ON",14.5
"Any vegetable juices*","QC",31
"Any vegetable juices*","NB",17
"Any vegetable juices*","NS",14.3
"Any vegetable juices*","PE",11.6
"Any vegetable juices*","NL",11.2
"Any vegetable juices*","YT",12.4
"Any vegetable juices*","NT",9.9
"Any vegetable juices*","NU",15
"Any vegetable juices*","Canada",18.2
"Frozen vegetables*","BC",41.9
"Frozen vegetables*","AB",49.8
"Frozen vegetables*","SK",55.4
"Frozen vegetables*","MB",46.8
"Frozen vegetables*","ON",40.5
"Frozen vegetables*","QC",23.9
"Frozen vegetables*","NB",40.3
"Frozen vegetables*","NS",47.3
"Frozen vegetables*","PE",51.8
"Frozen vegetables*","NL",40.4
"Frozen vegetables*","YT",50.1
"Frozen vegetables*","NT",55.1
"Frozen vegetables*","NU",53.6
"Frozen vegetables*","Canada",38.7
"Any fresh herbs","BC",52.9
"Any fresh herbs","AB",46.8
"Any fresh herbs","SK",37.6
"Any fresh herbs","MB",41
"Any fresh herbs","ON",52
"Any fresh herbs","QC",50.5
"Any fresh herbs","NB",32.9
"Any fresh herbs","NS",36.1
